timestamp_s,flight_id,msg_type,system_id,component_id,nav_state,arming_state,mode,command,lat,lon,relative_alt_m,vx_m_s,vy_m_s,vz_m_s,gps_fix_type,satellites_visible,battery_remaining_pct,voltage_v,roll_deg,pitch_deg,yaw_deg,link_quality_pct,result,expected_anomaly,notes
30,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35259,103.8201,30.763321984104664,2.0,1.0,0.1,3,12,85,16.035,1.2,1.1,114,92,OK,NONE,Waypoint navigation
31,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35262,103.82012,30.282240016119733,2.0,1.0,0.1,3,12,84,16.02,1.2,1.1,115,92,OK,NONE,Waypoint navigation
32,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35265,103.82014,29.783609730939784,2.0,1.0,0.1,3,12,84,16.005,1.2,1.1,116,92,OK,NONE,Waypoint navigation
33,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35268,103.82016,29.29843354462076,2.0,1.0,0.1,3,12,83,15.989999999999998,1.2,1.1,117,92,OK,NONE,Waypoint navigation
34,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,MOVE,1.35271,103.82018,28.856877362515313,2.0,1.0,0.1,3,12,83,15.975,1.2,1.1,118,91,OK,NONE,Waypoint navigation
35,PX4_STYLE_LOG_001,COMMAND_LONG,1,1,NAVIGATE,ARMED,GUIDED,TAKEOFF,1.3527,103.8202,-10,0,0,0,3,11,82,15.9,2,1,120,92,ERROR,UNSAFE_ALTITUDE_NEGATIVE,Negative altitude in command context
36,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,NONE,999,103.8198,35,2,1,0,3,11,81,15.9,2,1,122,91,ERROR,INVALID_LATITUDE,Latitude outside valid range
37,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,NAVIGATE,ARMED,GUIDED,NONE,1.3521,999,35,2,1,0,3,11,80,15.8,2,1,124,91,ERROR,INVALID_LONGITUDE,Longitude outside valid range
38,PX4_STYLE_LOG_001,GPS_RAW_INT,1,1,NAVIGATE,ARMED,GUIDED,GPS_LOSS,1.3528,103.8203,35,1.5,1,0,0,3,79,15.7,2,1,126,90,WARN,GPS_LOSS_DURING_NAVIGATION,GPS fix lost while navigating
39,PX4_STYLE_LOG_001,HEARTBEAT,1,1,FAILSAFE,ARMED,RTL,RTL,1.3528,103.8203,35,0,0,0,0,3,78,15.7,1,1,126,88,WARN,FAILSAFE_TRIGGERED,Failsafe triggered due to GPS/navigation issue
40,PX4_STYLE_LOG_001,COMMAND_LONG,1,1,RETURN_HOME,ARMED,RTL,LAND,1.3525,103.8201,25,0,0,0,0,3,77,15.6,1,1,130,87,WARN,LAND_WITH_POOR_GPS,Landing command while GPS poor
41,PX4_STYLE_LOG_001,COMMAND_LONG,1,1,HOVER,ARMED,SPORT,MOVE,1.3525,103.8201,999999,999999,20,0,3,12,76,15.5,5,4,135,90,ERROR,EXTREME_ALTITUDE_AND_VELOCITY,Extreme movement/altitude values
42,PX4_STYLE_LOG_001,COMMAND_LONG,1,1,HOVER,DISARMED,GUIDED,TAKEOFF,1.3525,103.8201,30,0,0,0,3,12,75,15.5,0,0,136,93,ERROR,TAKEOFF_WHILE_DISARMED,Takeoff attempted while disarmed
43,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,RETURN_HOME,ARMED,RTL,RTL,1.35245,103.82007,22,-1,-0.5,0.2,3,11,74,15.48,1,1,137,90,OK,NONE,Return-to-home recovery
44,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,RETURN_HOME,ARMED,RTL,RTL,1.3524,103.82004,19,-1,-0.5,0.2,3,12,73,15.46,1,1,138,90,OK,NONE,Return-to-home recovery
45,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,RETURN_HOME,ARMED,RTL,RTL,1.35235,103.82001,16,-1,-0.5,0.2,3,13,72,15.44,1,1,139,90,OK,NONE,Return-to-home recovery
46,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,RETURN_HOME,ARMED,RTL,RTL,1.3523,103.81998,13,-1,-0.5,0.2,3,14,71,15.42,1,1,140,90,OK,NONE,Return-to-home recovery
47,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,RETURN_HOME,ARMED,RTL,RTL,1.35225,103.81995,10,-1,-0.5,0.2,3,15,70,15.4,1,1,141,90,OK,NONE,Return-to-home recovery
48,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,RETURN_HOME,ARMED,RTL,RTL,1.3522,103.81992,7,-1,-0.5,0.2,3,16,69,15.38,1,1,142,90,OK,NONE,Return-to-home recovery
49,PX4_STYLE_LOG_001,GLOBAL_POSITION_INT,1,1,RETURN_HOME,ARMED,RTL,RTL,1.35215,103.81989,5,-1,-0.5,0.2,3,17,68,15.36,1,1,143,90,OK,NONE,Return-to-home recovery
50,PX4_STYLE_LOG_001,COMMAND_LONG,1,1,LANDING,ARMED,RTL,LAND,1.3521,103.8198,5,0,0,0.5,3,12,68,15.2,0,0,150,92,OK,NONE,Landing
51,PX4_STYLE_LOG_001,HEARTBEAT,1,1,LANDED,ARMED,RTL,NONE,1.3521,103.8198,0,0,0,0,3,12,67,15.2,0,0,150,92,OK,NONE,Landed
52,PX4_STYLE_LOG_001,COMMAND_LONG,1,1,IDLE,ARMED,MANUAL,DISARM,1.3521,103.8198,0,0,0,0,3,12,67,15.2,0,0,150,93,OK,NONE,Disarm
